Date,RegionName,State,Metro,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
1/31/2020,Cheshire County,NH,Keene,636,1403,0.0133,0.0246,-0.0014,29055
1/31/2020,White County,AR,Searcy,637,775,0.0234,0.0473,0.1196,24699
1/31/2020,Valencia County,NM,Albuquerque,638,1030,-0.0118,-0.0303,-0.0157,22052
1/31/2020,Rockingham County,VA,Harrisonburg,639,1205,0.0018,0.0182,0.0729,28407
1/31/2020,Leavenworth County,KS,Kansas City,640,1040,0.0208,0.0329,-0.0415,27077
1/31/2020,Cole County,MO,Jefferson City,641,706,-0.0161,-0.0335,-0.0455,27030
1/31/2020,Umatilla County,OR,Hermiston-Pendleton,642,1120,-0.0256,0.0208,0.0235,19463
1/31/2020,Cape Girardeau County,MO,Cape Girardeau,643,884,-0.0139,0.0181,0.0425,26367
1/31/2020,Lynchburg City,VA,Lynchburg,644,875,-0.007,-0.0058,-0.0363,25512
1/31/2020,Natrona County,WY,Casper,645,1055,0.0075,0.0391,0.1144,27864
1/31/2020,Polk County,OR,Salem,646,1439,-0.0156,-0.0221,-0.0036,25707
1/31/2020,Coryell County,TX,Killeen-Temple,647,875,-0.0087,-0.0124,0.0631,21632
1/31/2020,Forrest County,MS,Hattiesburg,648,812,-0.0127,-0.0307,-0.0264,22702
1/31/2020,Putnam County,FL,Palatka,649,902,-0.0043,-0.0122,-0.0218,19189
1/31/2020,Bullitt County,KY,Louisville/Jefferson County,650,1160,0.0124,0.0253,0.0415,17112
1/31/2020,Bastrop County,TX,Austin-Round Rock,651,1390,-0.0023,0.0358,0.041,22982
1/31/2020,Christian County,KY,Clarksville,652,834,0.0049,0.0631,0.0478,11626
1/31/2020,Augusta County,VA,Staunton-Waynesboro,653,1241,-0.0012,-0.0145,-0.0168,29308
1/31/2020,Surry County,NC,Mount Airy,654,1139,0.0089,-0.0144,0.0145,22959
1/31/2020,Madison County,NY,Syracuse,655,1154,-0.0259,0.0215,0.0508,25923
1/31/2020,Nassau County,FL,Jacksonville,656,1690,0.0007,-0.0089,0.0702,35935
1/31/2020,Monroe County,FL,Key West,657,3105,-0.0001,0.0008,-0.0667,46306
1/31/2020,Wagoner County,OK,Tulsa,658,1080,-0.0231,-0.0107,0.0235,28023
1/31/2020,Grays Harbor County,WA,Aberdeen,659,1162,-0.0156,0.0007,0.147,31411
1/31/2020,Chelan County,WA,Wenatchee,660,1481,-0.0195,-0.028,-0.0098,28679
1/31/2020,Putnam County,TN,Cookeville,661,945,-0.0076,0.0141,-0.0013,25742
1/31/2020,Yuba County,CA,Yuba City,662,1411,-0.0144,-0.0172,0.0749,21310
1/31/2020,Aroostook County,ME,,663,1070,-0.0279,-0.023,0.0443,12185
1/31/2020,Apache County,AZ,,664,1329,-0.0043,-0.0155,0.0313,7718
1/31/2020,Clallam County,WA,Port Angeles,665,1500,-0.0092,-0.0089,0.0545,30619
1/31/2020,Riley County,KS,Manhattan,666,1042,0.0151,0.0528,-0.0034,21826
1/31/2020,De Kalb County,AL,Fort Payne,667,847,0.0146,-0.0093,-0.0128,19104
1/31/2020,Muskogee County,OK,Muskogee,668,627,0.0096,0.0205,-0.0563,20832
1/31/2020,Belmont County,OH,Wheeling,669,1008,-0.0161,-0.0514,-0.045,22341
1/31/2020,Bulloch County,GA,Statesboro,670,915,0.0138,0.0317,-0.0149,23056
1/31/2020,Hancock County,IN,Indianapolis-Carmel-Anderson,671,1254,0.0199,0.034,0.053,29818
1/31/2020,Creek County,OK,Tulsa,672,870,-0.0271,-0.0226,0.01,21748
1/31/2020,Jefferson County,OH,Weirton-Steubenville,673,710,-0.0045,-0.0113,0.0484,18186
1/31/2020,Pottawatomie County,OK,Shawnee,674,832,0.0026,0.0162,0.0148,23141
1/31/2020,Barrow County,GA,Atlanta-Sandy Springs-Roswell,675,1260,-0.0055,0.0082,0.0235,30336
1/31/2020,Harrison County,WV,Clarksburg,676,922,-0.0132,-0.0468,-0.017,26646
1/31/2020,Armstrong County,PA,Pittsburgh,677,992,-0.0126,-0.0141,0.1219,25467
1/31/2020,Wayne County,IN,Richmond,678,809,-0.0021,-0.0064,0.0658,24914
1/31/2020,Morgan County,IN,Indianapolis-Carmel-Anderson,679,1096,0.0211,0.0247,0.1442,26749
1/31/2020,Walker County,GA,Chattanooga,680,989,0.0069,0.0234,0.0811,24008
1/31/2020,Darlington County,SC,Florence,681,1013,0.0064,0.0054,-0.0049,20439
1/31/2020,Walker County,TX,Huntsville,682,1015,-0.0052,-0.0192,0.0046,11785
1/31/2020,Rutherford County,NC,Forest City,683,1127,0.0129,-0.0008,0.0054,32774
1/31/2020,Jones County,MS,Laurel,684,711,-0.0166,-0.0249,-0.1572,1178
1/31/2020,Columbia County,FL,Lake City,685,1148,0.0062,0.0305,0.0473,16699
1/31/2020,Columbia County,PA,Bloomsburg-Berwick,686,863,-0.0108,-0.0066,-0.1368,16487
1/31/2020,Troup County,GA,LaGrange,687,975,0.001,0.0337,0.1605,25463
1/31/2020,James City County,VA,Virginia Beach-Norfolk-Newport News,688,1615,0.0018,0.0019,0.0209,37403
1/31/2020,Grand Forks County,ND,Grand Forks,689,938,0.0007,0.002,0.0429,19398
1/31/2020,Marion County,OH,Marion,690,912,0.0131,-0.0066,0.0476,24612
1/31/2020,Carteret County,NC,Morehead City,691,1264,-0.0272,-0.0538,-0.0005,45616
1/31/2020,Williamson County,IL,Carbondale-Marion,692,736,-0.0229,0.0055,-0.0138,26321
1/31/2020,Robertson County,TN,Nashville-Davidson--Murfreesboro--Franklin,693,1296,-0.0043,-0.0088,0.0738,25975
1/31/2020,Dallas County,IA,Des Moines-West Des Moines,694,1233,0.005,0.0063,0.0436,38696
1/31/2020,Salem County,NJ,Philadelphia-Camden-Wilmington,695,1172,0.0056,0.0075,0.003,22654
1/31/2020,Warren County,NY,Glens Falls,696,1313,0.0256,-0.0187,-0.0878,33422
1/31/2020,Harrison County,TX,Marshall,697,908,-0.0129,-0.0053,-0.0192,23237
1/31/2020,York County,VA,Virginia Beach-Norfolk-Newport News,698,1491,-0.0246,-0.0262,-0.0161,25381
1/31/2020,Saint Francois County,MO,Farmington,699,716,-0.0212,-0.0393,-0.1029,23275
1/31/2020,Carbon County,PA,Allentown-Bethlehem-Easton,700,981,-0.0088,-0.0276,-0.0441,34716
1/31/2020,Fauquier County,VA,Washington-Arlington-Alexandria,701,1641,-0.0214,-0.0232,0.0158,27237
1/31/2020,Pike County,KY,,702,808,0.0022,-0.0061,-0.0045,19513
1/31/2020,San Patricio County,TX,Corpus Christi,703,1272,-0.0139,-0.0046,-0.0643,23155
1/31/2020,Lake County,CA,Clearlake,704,1424,0.0005,-0.0001,-0.0084,30288
1/31/2020,Nacogdoches County,TX,Nacogdoches,705,959,-0.0063,0.0345,-0.0317,5112
1/31/2020,Reno County,KS,Hutchinson,706,782,0.0043,0.0163,-0.0149,23715
1/31/2020,Spalding County,GA,Atlanta-Sandy Springs-Roswell,707,883,0.0231,0.054,0.0247,24482
1/31/2020,Blue Earth County,MN,Mankato-North Mankato,708,1265,0.0169,0.0856,0.0691,21671
1/31/2020,Catoosa County,GA,Chattanooga,709,1079,-0.0103,0.0102,0.0953,26319
