Zipcode,State,CountyName,State Latitude,State Longitude,ZipLatitude,ZipLongitude
6058,CT,Litchfield County,41.599998,-72.699997,41.99,-73.19
95975,CA,Nevada County,36.778259,-119.417931,39.22,-121.15
4988,ME,Waldo County,45.367584,-68.972168,44.61,-69.33
13327,NY,Lewis County,43,-75,43.89,-75.39
65786,MO,Camden County,38.573936,-92.60376,37.96,-92.97
73762,OK,Kingfisher County,36.084621,-96.921387,35.72,-97.97
79064,TX,Lamb County,31,-100,34.17,-102.13
25917,WV,Fayette County,39,-80.5,37.95,-81.24
36005,AL,Barbour County,32.31823,-86.902298,31.81,-85.83
99181,WA,Stevens County,47.751076,-120.740135,48.14,-117.76
31098,GA,Houston County,33.247875,-83.441162,32.61,-83.63
22724,VA,Culpeper County,37.926868,-78.024902,38.63,-77.91
13640,NY,Jefferson County,43,-75,44.33,-75.9
910,UT,Kane County,39.41922,-111.950684,18.4,-66.06
