Zipcode,State,CountyName,State Latitude,State Longitude,ZipLatitude,ZipLongitude
23937,VA,Charlotte County,37.926868,-78.024902,36.99,-78.6
54491,WI,Langlade County,44.5,-89.5,45.16,-88.76
54642,WI,Jackson County,44.5,-89.5,44.13,-90.99
12086,NY,Montgomery County,43,-75,42.97,-74.15
4346,ME,Kennebec County,45.367584,-68.972168,44.23,-69.75
13734,NY,Tioga County,43,-75,42.04,-76.44
72854,AR,Johnson County,34.799999,-92.199997,35.67,-93.43
8026,NJ,Camden County,39.833851,-74.871826,39.83,-74.96
43466,OH,Wood County,40.367474,-82.996216,41.3,-83.47
58552,ND,Emmons County,47.650589,-100.437012,46.26,-100.23
68730,NE,Knox County,41.5,-100,42.73,-97.49
72839,AR,Johnson County,34.799999,-92.199997,35.52,-93.33
77975,TX,Lavaca County,31,-100,29.57,-97.14
12066,NY,Schoharie County,43,-75,42.76,-74.25
83629,ID,Boise County,44.068203,-114.742043,43.92,-116.17
65624,MO,Stone County,38.573936,-92.60376,36.72,-93.51
35136,AL,Coosa County,32.31823,-86.902298,32.88,-86.21
98847,WA,Chelan County,47.751076,-120.740135,47.51,-120.62
95951,CA,Glenn County,36.778259,-119.417931,39.72,-122.05
30336,GA,Fulton County,33.247875,-83.441162,33.74,-84.54
46743,IN,Allen County,40.273502,-86.126976,41.22,-84.83
48894,MI,Clinton County,44.182205,-84.506836,42.92,-84.79
15559,PA,Bedford County,41.203323,-77.194527,40.04,-78.64
45827,OH,Putnam County,40.367474,-82.996216,41.01,-84.3
58367,ND,Rolette County,47.650589,-100.437012,48.85,-99.61
74735,OK,Choctaw County,36.084621,-96.921387,34.02,-95.29
79096,TX,Wheeler County,31,-100,35.44,-100.27
30816,GA,Burke County,33.247875,-83.441162,33.23,-82.22
49338,MI,Mecosta County,44.182205,-84.506836,43.77,-85.5
83236,ID,Bingham County,44.068203,-114.742043,43.22,-111.99
3774,NH,Grafton County,44,-71.5,44.09,-71.99
30722,GA,Whitfield County,33.247875,-83.441162,34.76,-84.97
1054,MA,Franklin County,42.407211,-71.382439,42.45,-72.5
1236,MA,Berkshire County,42.407211,-71.382439,42.25,-73.36
72852,AR,Johnson County,34.799999,-92.199997,35.71,-93.57
38368,TN,Henderson County,35.860119,-86.660156,35.51,-88.35
50161,IA,Story County,42.032974,-93.581543,41.89,-93.39
45174,OH,Hamilton County,40.367474,-82.996216,39.15,-84.31
80809,CO,El Paso County,39.113014,-105.358887,38.9,-104.97
67543,KS,Reno County,38.5,-98,37.9,-97.78
8341,NJ,Atlantic County,39.833851,-74.871826,39.51,-74.94
93616,CA,Fresno County,36.778259,-119.417931,36.65,-119.59
48890,MI,Eaton County,44.182205,-84.506836,42.76,-84.99
83871,ID,Latah County,44.068203,-114.742043,46.74,-116.74
19951,DE,Sussex County,39,-75.5,38.67,-75.23
17813,PA,Snyder County,41.203323,-77.194527,40.75,-77.16
48741,MI,Tuscola County,44.182205,-84.506836,43.41,-83.18
42337,KY,Muhlenberg County,37.839333,-84.27002,37.21,-87.04
54838,WI,Douglas County,44.5,-89.5,46.24,-91.79
52639,IA,Lee County,42.032974,-93.581543,40.52,-91.41
