,state_abbrev,county,McDonaldsCount
263,IN,Elkhart,10
264,IN,Fayette,1
265,IN,Floyd,5
266,IN,Grant,4
267,IN,Hamilton,14
268,IN,Hancock,4
269,IN,Hendricks,8
270,IN,Howard,6
271,IN,Jackson,3
272,IN,Jasper,4
273,IN,Jefferson,2
274,IN,Johnson,9
275,IN,LaPorte,7
276,IN,Lake,27
277,IN,Madison,8
278,IN,Marion,49
279,IN,Marshall,4
280,IN,Martin,1
281,IN,Morgan,2
282,IN,Noble,3
283,IN,Porter,9
284,IN,Putnam,2
285,IN,Randolph,2
286,IN,Scott,1
287,IN,Tippecanoe,9
288,IN,Whitley,2
289,KS,Butler,4
290,KS,Cowley,2
291,KS,Douglas,5
292,KS,Finney,2
293,KS,Geary,2
294,KS,Grant,1
295,KS,Johnson,34
296,KS,Miami,2
297,KS,Norton,1
298,KS,Sedgwick,31
299,KS,Seward,2
300,KS,Stevens,1
301,KS,Trego,1
302,KS,Wyandotte,9
303,KY,Allen,1
304,KY,Anderson,1
305,KY,Barren,2
306,KY,Boone,8
307,KY,Bourbon,1
308,KY,Boyd,6
309,KY,Bullitt,4
310,KY,Campbell,4
311,KY,Carroll,2
312,KY,Carter,2
313,KY,Clark,1
314,KY,Clinton,1
315,KY,Crittenden,1
316,KY,Elliott,1
317,KY,Estill,1
318,KY,Fayette,17
319,KY,Fulton,1
320,KY,Garrard,1
321,KY,Grant,2
322,KY,Green,1
323,KY,Greenup,2
324,KY,Hardin,8
325,KY,Hart,2
326,KY,Jefferson,46
327,KY,Jessamine,4
328,KY,Kenton,7
329,KY,Larue,1
330,KY,Lincoln,1
331,KY,Lyon,1
332,KY,Madison,5
333,KY,Marshall,3
334,KY,McCracken,4
335,KY,Mercer,1
336,KY,Montgomery,2
337,KY,Oldham,3
338,KY,Owen,1
339,KY,Pendleton,1
340,KY,Powell,1
341,KY,Rowan,2
342,KY,Russell,1
343,KY,Scott,3
344,KY,Shelby,3
345,KY,Simpson,2
346,KY,Spencer,1
347,KY,Taylor,1
348,KY,Trigg,1
349,KY,Warren,8
350,KY,Washington,1
351,KY,Wayne,1
352,KY,Whitley,4
353,KY,Woodford,1
354,LA,Ascension Parish,7
355,LA,Caldwell Parish,1
356,LA,East Baton Rouge Parish,28
357,LA,Jackson Parish,1
358,LA,Jefferson Parish,28
359,LA,Lafayette Parish,13
360,LA,Lafourche Parish,6
361,LA,Madison Parish,1
362,LA,Ouachita Parish,8
363,LA,St Bernard Parish,3
364,LA,Tangipahoa Parish,6
365,LA,Terrebonne Parish,7
366,LA,Washington Parish,2
367,LA,West Baton Rouge Parish,3
368,LA,West Carroll Parish,1
369,MA,Bristol,24
370,MA,Essex,30
371,MA,Middlesex,41
372,MA,Norfolk,17
373,MA,Suffolk,22
374,MD,Anne Arundel,28
375,MD,Baltimore,37
376,MD,Calvert,5
377,MD,Carroll,6
378,MD,Frederick,16
379,MD,Garrett,3
380,MD,Harford,12
381,MD,Howard,19
382,MD,Montgomery,40
383,MD,Prince George's,43
384,MD,Queen Anne's,3
385,MD,Worcester,6
386,MI,Alpena,3
387,MI,Bay,12
388,MI,Berrien,8
389,MI,Branch,2
390,MI,Calhoun,10
391,MI,Cheboygan,2
392,MI,Clare,2
393,MI,Genesee,33
394,MI,Grand Traverse,5
395,MI,Ionia,4
396,MI,Iosco,2
397,MI,Isabella,5
398,MI,Jackson,10
399,MI,Kalamazoo,16
400,MI,Kent,33
401,MI,Lapeer,5
402,MI,Livingston,9
403,MI,Luce,1
404,MI,Macomb,43
405,MI,Montcalm,6
406,MI,Muskegon,10
407,MI,Newaygo,2
408,MI,Oakland,58
409,MI,Ogemaw,2
410,MI,Osceola,2
411,MI,Ottawa,10
412,MI,Roscommon,3
413,MI,Saginaw,16
414,MI,St Joseph,3
415,MI,Washtenaw,16
416,MI,Wayne,82
417,MN,Anoka,16
418,MN,Dakota,19
419,MN,Goodhue,3
420,MN,Hennepin,42
421,MN,Olmsted,7
422,MN,Pennington,1
423,MN,Ramsey,21
424,MN,Scott,6
425,MN,Waseca,1
426,MN,Washington,7
427,MO,Boone,7
428,MO,Buchanan,7
429,MO,Callaway,3
430,MO,Camden,4
431,MO,Carter,1
432,MO,Cass,5
433,MO,Clay,16
434,MO,Douglas,1
435,MO,Greene,22
436,MO,Grundy,1
437,MO,Howell,4
438,MO,Jackson,42
439,MO,Jefferson,8
440,MO,Johnson,3
441,MO,Lafayette,5
442,MO,Madison,1
443,MO,Phelps,4
444,MO,Platte,3
445,MO,Pulaski,2
446,MO,St Francois,3
447,MO,Ste Genevieve,2
448,MO,Warren,2
449,MO,Webster,2
450,MS,Alcorn,2
451,MS,Clay,1
452,MS,Covington,1
453,MS,DeSoto,7
454,MS,Forrest,4
455,MS,George,1
456,MS,Harrison,12
457,MS,Hinds,13
458,MS,Itawamba,1
459,MS,Lamar,4
460,MS,Leake,1
461,MS,Madison,6
462,MS,Marion,1
463,MS,Monroe,2
464,MS,Montgomery,1
465,MS,Noxubee,1
466,MS,Oktibbeha,2
467,MS,Panola,3
468,MS,Rankin,6
469,MS,Scott,2
470,MS,Stone,1
471,MS,Tunica,1
472,MS,Union,1
473,MS,Walthall,1
474,MS,Washington,5
475,MS,Wayne,1
476,MT,Custer,1
477,MT,Deer Lodge,1
478,MT,Gallatin,5
479,NC,Alamance,9
480,NC,Brunswick,5
481,NC,Buncombe,15
482,NC,Burke,4
483,NC,Cabarrus,12
484,NC,Caldwell,2
485,NC,Chowan,1
486,NC,Clay,1
487,NC,Craven,7
488,NC,Cumberland,18
489,NC,Dare,3
490,NC,Davidson,6
491,NC,Davie,2
492,NC,Durham,16
493,NC,Edgecombe,2
494,NC,Forsyth,20
495,NC,Gaston,10
496,NC,Greene,1
497,NC,Guilford,29
498,NC,Halifax,3
499,NC,Harnett,6
500,NC,Hertford,2
501,NC,Hoke,2
502,NC,Iredell,9
503,NC,Johnston,7
504,NC,Lee,3
505,NC,Lincoln,3
506,NC,McDowell,3
507,NC,Mecklenburg,41
508,NC,Mitchell,1
509,NC,Moore,4
510,NC,Nash,5
511,NC,New Hanover,12
512,NC,Orange,5
513,NC,Pasquotank,3
514,NC,Pender,3
515,NC,Pitt,11
516,NC,Randolph,7
517,NC,Rockingham,4
518,NC,Surry,6
519,NC,Union,9
520,NC,Wake,50
521,NC,Washington,1
522,NC,Wayne,6
523,NC,Yadkin,2
524,NE,Box Butte,1
525,NE,Cuming,1
526,NE,Dawes,1
527,NE,Dawson,2
528,NE,Douglas,21
529,NE,Hall,2
530,NE,Lancaster,14
531,NE,Sarpy,7
532,NE,Scotts Bluff,2
533,NE,Wayne,1
534,NH,Hillsborough,14
535,NJ,Atlantic,11
536,NJ,Bergen,19
537,NJ,Burlington,16
538,NJ,Camden,17
539,NJ,Cape May,9
540,NJ,Essex,20
541,NJ,Gloucester,10
542,NJ,Hudson,16
543,NJ,Mercer,12
544,NJ,Middlesex,25
545,NJ,Monmouth,22
546,NJ,Morris,17
547,NJ,Ocean,20
548,NJ,Passaic,9
549,NJ,Salem,4
550,NJ,Union,18
551,NM,Bernalillo,38
552,NM,Chaves,3
553,NM,Hidalgo,1
554,NM,Los Alamos,1
555,NM,Luna,1
556,NM,Santa Fe,7
557,NM,Valencia,5
558,NV,Carson City,3
559,NV,Clark,114
560,NV,Douglas,2
561,NV,Lander,1
562,NV,Lyon,2
563,NV,Mineral,1
564,NV,Pershing,1
565,NV,Washoe,24
566,NY,Bronx,40
567,NY,Broome,11
568,NY,Dutchess,10
569,NY,Erie,43
570,NY,Fulton,2
571,NY,Herkimer,4
572,NY,Kings,51
573,NY,Livingston,5
574,NY,Monroe,29
575,NY,Montgomery,4
576,NY,Nassau,33
577,NY,Onondaga,21
578,NY,Ontario,5
579,NY,Putnam,3
580,NY,Queens,47
581,NY,Richmond,8
582,NY,Rockland,7
583,NY,Saratoga,11
584,NY,Schenectady,8
585,NY,Seneca,2
586,NY,Suffolk,43
587,NY,Wayne,5
588,OH,Adams,3
589,OH,Allen,9
590,OH,Ashtabula,8
591,OH,Auglaize,3
592,OH,Brown,3
593,OH,Butler,19
594,OH,Clark,7
595,OH,Clermont,10
596,OH,Columbiana,5
597,OH,Crawford,3
598,OH,Cuyahoga,52
599,OH,Defiance,3
600,OH,Delaware,9
601,OH,Erie,8
602,OH,Fayette,3
603,OH,Franklin,59
604,OH,Fulton,2
605,OH,Gallia,2
606,OH,Greene,10
607,OH,Hamilton,33
608,OH,Hardin,2
609,OH,Highland,2
610,OH,Huron,5
611,OH,Jackson,3
612,OH,Lake,14
613,OH,Lawrence,3
614,OH,Licking,9
615,OH,Logan,4
616,OH,Lorain,16
617,OH,Lucas,25
618,OH,Madison,3
619,OH,Mahoning,13
620,OH,Medina,7
621,OH,Miami,5
622,OH,Montgomery,31
623,OH,Morgan,2
624,OH,Pickaway,2
625,OH,Portage,11
626,OH,Sandusky,4
627,OH,Stark,30
628,OH,Summit,32
629,OH,Trumbull,12
630,OH,Tuscarawas,7
631,OH,Warren,9
632,OH,Wyandot,2
633,OK,Beckham,3
634,OK,Canadian,7
635,OK,Cleveland,13
636,OK,Cotton,1
637,OK,Custer,2
638,OK,Garvin,2
639,OK,Hughes,2
640,OK,Kay,2
641,OK,Latimer,1
642,OK,Marshall,1
643,OK,McClain,2
644,OK,McIntosh,3
645,OK,Murray,1
646,OK,Muskogee,6
647,OK,Oklahoma,49
648,OK,Okmulgee,2
649,OK,Osage,3
650,OK,Pawnee,2
651,OK,Payne,4
652,OK,Pottawatomie,4
653,OK,Tulsa,37
654,OK,Wagoner,4
655,OR,Benton,5
656,OR,Clackamas,19
657,OR,Clatsop,2
658,OR,Columbia,2
659,OR,Crook,1
660,OR,Deschutes,9
661,OR,Hood River,2
